steps,return
0,318.9755456183661
1,319.51954411361504
2,320.5673937210611
3,320.9352649323127
4,320.8273139662892
5,321.0014977741893
6,320.9371669093943
7,320.39989002921226
8,321.4822694619678
9,321.9073997731149
10,321.7113271264799
11,320.5500891585208
12,321.6814187426427
13,321.5722071665952
14,320.7866653078497
15,321.78779082621395
16,323.01638696382184
17,322.1468559026452
18,322.9346468912673
19,322.00538703138903
20,321.8738644275261
21,321.52556488069564
22,322.2337669972187
23,322.868750198949
24,322.9930580867989
25,323.0512561068432
26,322.56044086694874
27,322.53614440335724
28,322.5483643372863
29,322.9896512159597
30,323.17992523103294
31,323.36834550952807
32,323.42527647662246
33,323.3888739683559
34,323.7425606404633
35,322.19909788806774
36,322.7998422048086
37,322.72797573934986
